                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  4.796,                 18.166,                 1.5731,                      0,                      0,                      0,                      0,                   4.44,                 5.8861,                 1.1595,                 0.0829,                 0.0019,                 0.0019
                      1,                 4.4445,                 5.2831,                 1.2238,                      0,                      0,                      0,                      0,                 4.2083,                  5.422,                 1.1762,               0.064861,              0.0038614,              0.0038614
                      2,                 4.4052,                 4.1885,                 1.1384,                0.00994,                0.13889,                0.00726,                0.00084,                 4.5874,                 3.7401,                 1.2746,               0.046783,              0.0057832,              0.0057832
                      3,                 4.2969,                 3.6852,                 1.1391,                0.01185,                0.36111,                 0.0539,                0.01808,                 4.2589,                 3.7509,                 1.1175,               0.028665,              0.0076654,              0.0076654
                      4,                 4.3595,                 3.6419,                 1.1589,                0.01346,                0.27778,                0.01401,                0.00244,                  4.259,                 3.8108,                 1.1463,               0.010508,               0.009508,               0.009508
                      5,                 4.3809,                  3.564,                 1.1348,                0.01003,                0.19444,                0.00842,                0.00175,                 4.8339,                 3.4142,                 1.2658,               0.009505,               0.009505,               0.009505
                      6,                 4.1119,                 3.1842,                 1.0926,                0.04222,                0.44444,                0.06958,                0.01149,                  4.203,                 2.9926,                 1.0824,               0.009505,               0.009505,               0.009505
                      7,                 4.1339,                 3.1436,                  1.123,                0.21052,                0.27778,                0.10308,                0.01936,                 3.6454,                 2.7862,                 1.0272,               0.009406,               0.009406,               0.009406
                      8,                 4.0893,                 3.4891,                 1.1106,                0.14435,                0.05556,                0.05367,                0.01254,                 3.5874,                 2.8911,                 1.0153,               0.009307,               0.009307,               0.009307
                      9,                 4.0803,                 3.2309,                 1.1017,                0.14792,                0.22222,                0.06025,                0.00909,                 4.1271,                 2.5248,                 1.0685,               0.009208,               0.009208,               0.009208
                     10,                 4.0477,                  3.095,                 1.0984,                0.05047,                0.44444,                0.07317,                0.01499,                 3.5387,                 3.0117,                 1.0124,               0.009109,               0.009109,               0.009109
                     11,                 4.0312,                 3.0715,                 1.0477,                0.18063,                   0.25,                0.09772,                0.01688,                 3.8495,                 2.4202,                 1.0385,                0.00901,                0.00901,                0.00901
                     12,                 3.9855,                 2.9785,                 1.0956,                0.49929,                0.16667,                0.16533,                  0.032,                 3.6189,                 2.4732,                 1.0148,               0.008911,               0.008911,               0.008911
                     13,                 4.0702,                  2.902,                 1.0805,                0.21136,                0.33333,                0.19392,                0.03968,                 3.6342,                 2.4417,                 1.0162,               0.008812,               0.008812,               0.008812
                     14,                 3.9242,                 2.7486,                 1.0614,                0.13324,                0.22222,                0.07752,                0.00999,                 4.3868,                 2.3807,                 1.0679,               0.008713,               0.008713,               0.008713
                     15,                 3.8257,                 2.6606,                  1.039,                0.25984,                0.27778,                0.19886,                0.03729,                 3.5836,                 2.1745,                0.99786,               0.008614,               0.008614,               0.008614
                     16,                 3.9819,                 2.7475,                 1.0837,                0.20692,                0.33333,                0.16837,                0.04241,                 3.4946,                 2.0546,                0.99882,               0.008515,               0.008515,               0.008515
                     17,                 4.0411,                 2.8236,                 1.0914,                0.44212,                0.30829,                0.28912,                0.06347,                 3.2478,                 2.0075,                0.97443,               0.008416,               0.008416,               0.008416
                     18,                 4.0555,                 2.5519,                 1.0798,                0.32843,                0.29901,                0.23426,                0.03835,                 3.5767,                 1.9904,                 1.0019,               0.008317,               0.008317,               0.008317
                     19,                   3.88,                 2.6958,                 1.0753,                0.38356,                0.19444,                0.22502,                0.03901,                 3.5653,                 2.2499,                0.99444,               0.008218,               0.008218,               0.008218
                     20,                 3.9437,                 2.7641,                 1.0801,                0.36178,                   0.25,                0.25422,                0.05408,                 3.4944,                 2.0413,                 1.0142,               0.008119,               0.008119,               0.008119
                     21,                 3.9418,                 2.7118,                 1.0339,                0.28267,                0.28474,                0.16654,                 0.0453,                 3.5155,                  1.967,                0.99062,                0.00802,                0.00802,                0.00802
