                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.03544,                0.94737,                      1,                0.12498,               0.003169,               0.003169,               0.003169
                     71,                0.03223,                0.73684,                      1,                 0.1426,                0.00307,                0.00307,                0.00307
                     72,                0.02335,                0.84211,                      1,                0.13871,               0.002971,               0.002971,               0.002971
                     73,                0.02271,                0.78947,                      1,                0.14715,               0.002872,               0.002872,               0.002872
                     74,                0.03091,                0.52632,                      1,                0.17704,               0.002773,               0.002773,               0.002773
                     75,                0.02527,                0.94737,                      1,                0.12274,               0.002674,               0.002674,               0.002674
                     76,                0.04101,                0.84211,                      1,                0.14277,               0.002575,               0.002575,               0.002575
                     77,                0.02089,                0.94737,                      1,                0.12578,               0.002476,               0.002476,               0.002476
                     78,                0.02055,                0.73684,                      1,                0.14595,               0.002377,               0.002377,               0.002377
                     79,                0.02286,                0.73684,                      1,                0.14545,               0.002278,               0.002278,               0.002278
                     80,                0.02047,                0.84211,                      1,                0.13933,               0.002179,               0.002179,               0.002179
                     81,                0.02276,                0.94737,                      1,                0.12406,                0.00208,                0.00208,                0.00208
                     82,                 0.0213,                0.89474,                      1,                0.13177,               0.001981,               0.001981,               0.001981
                     83,                0.01644,                0.89474,                      1,                0.13477,               0.001882,               0.001882,               0.001882
                     84,                0.01708,                0.94737,                      1,                0.12122,               0.001783,               0.001783,               0.001783
                     85,                0.02833,                0.84211,                      1,                0.13103,               0.001684,               0.001684,               0.001684
                     86,                0.02106,                0.84211,                      1,                0.13392,               0.001585,               0.001585,               0.001585
                     87,                0.01768,                0.84211,                      1,                0.14294,               0.001486,               0.001486,               0.001486
                     88,                0.02903,                0.73684,                      1,                0.14734,               0.001387,               0.001387,               0.001387
                     89,                0.02526,                0.84211,                      1,                0.13854,               0.001288,               0.001288,               0.001288
                     90,                0.01967,                0.89474,                      1,                0.12923,               0.001189,               0.001189,               0.001189
                     91,                0.01944,                0.89474,                      1,                0.12994,                0.00109,                0.00109,                0.00109
                     92,                0.02521,                0.78947,                      1,                0.14139,               0.000991,               0.000991,               0.000991
                     93,                0.01886,                0.84211,                      1,                0.13736,               0.000892,               0.000892,               0.000892
                     94,                0.01808,                0.84211,                      1,                0.13949,               0.000793,               0.000793,               0.000793
                     95,                0.01885,                0.84211,                      1,                0.13583,               0.000694,               0.000694,               0.000694
                     96,                0.01759,                0.84211,                      1,                0.13235,               0.000595,               0.000595,               0.000595
                     97,                0.01838,                0.89474,                      1,                0.12923,               0.000496,               0.000496,               0.000496
                     98,                0.01994,                0.94737,                      1,                0.12572,               0.000397,               0.000397,               0.000397
                     99,                0.03084,                0.89474,                      1,                0.12828,               0.000298,               0.000298,               0.000298
